code,date,in_people,out_people,name,line,address,x,y
420,20161225,46352.0,49281.0,혜화,04호선,서울특별시 종로구 대학로 지하 120 (혜화역),127.00194274550199,37.5820439179086
420,20171224,47617.0,51076.0,혜화,04호선,서울특별시 종로구 대학로 지하 120 (혜화역),127.00194274550199,37.5820439179086
420,20171225,46872.0,49291.0,혜화,04호선,서울특별시 종로구 대학로 지하 120 (혜화역),127.00194274550199,37.5820439179086
421,20151224,31771.0,32550.0,동대문,04호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
421,20151225,26977.0,29690.0,동대문,04호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
421,20161224,26938.0,26572.0,동대문,04호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
421,20161225,14666.0,15877.0,동대문,04호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
421,20171225,21317.0,22844.0,동대문,04호선,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.571667604016206
422,20151224,28400.0,27170.0,동대문역사문화공원,04호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
422,20151225,26916.0,24711.0,동대문역사문화공원,04호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
422,20161224,25648.0,22208.0,동대문역사문화공원,04호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
422,20161225,21285.0,18995.0,동대문역사문화공원,04호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
422,20171224,21013.0,19121.0,동대문역사문화공원,04호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
422,20171225,22033.0,19573.0,동대문역사문화공원,04호선,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
423,20151224,40050.0,42089.0,충무로,04호선, 서울특별시 중구 퇴계로 지하199(충무로역),126.994150735779,37.5613965840169
423,20151225,19672.0,19879.0,충무로,04호선, 서울특별시 중구 퇴계로 지하199(충무로역),126.994150735779,37.5613965840169
423,20161224,23879.0,24005.0,충무로,04호선, 서울특별시 중구 퇴계로 지하199(충무로역),126.994150735779,37.5613965840169
423,20161225,15064.0,15329.0,충무로,04호선, 서울특별시 중구 퇴계로 지하199(충무로역),126.994150735779,37.5613965840169
423,20171225,16430.0,16539.0,충무로,04호선, 서울특별시 중구 퇴계로 지하199(충무로역),126.994150735779,37.5613965840169
424,20151224,59648.0,71421.0,명동,04호선,서울특별시 중구 퇴계로 지하 126 (명동역),126.986400086711,37.5609634671841
424,20151225,68256.0,90317.0,명동,04호선,서울특별시 중구 퇴계로 지하 126 (명동역),126.986400086711,37.5609634671841
