name,code,eng_name,line,out_code,address,x,y
봉천,229,Bongcheon,02호선,229,서울특별시 봉천동,126.9393853,37.482476
사당,226,Sadang,02호선,226,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.4765604303289
사당,226,Sadang,02호선,226,서울특별시 동작구  동작대로 지하 3(사당동) (4호선 사당역),126.981558584016,37.4765604303289
삼성,219,Samseong,02호선,219,서울특별시,127.0609603,37.508861
상왕십리,207,Sangwangsimni,02호선,207,서울특별시 성동구 왕십리로 지하 374 (상왕십리역),127.029274674797,37.564438467635
서울대입구,228,Seoul Nat`l Univ.,02호선,228,서울특별시 관악구 남부순환로 지하 1822 (서울대입구역),126.952713197762,37.4812845080678
서초,224,Seocho,02호선,224,서울특별시 서초구 서초대로 지하 233 (서초역),127.007662120039,37.4918499338918
선릉,220,Seolleung,02호선,220,서울 강남구 테헤란로 지하 340,127.048961694022,37.504497373492
성수,211,Seongsu,02호선,211,서울특별시 성동구 아차산로 100 (성수역),127.056066999327,37.5445888153751
시청,201,City Hall,02호선,201,서울특별시 세종대로 지하 101 (정동) (1호선 시청역),126.702235746357,37.4577376396937
시청,201,City Hall,02호선,201,서울특별시 중구 서소문로 지하 127 (서소문동) (2호선 시청역),126.702235746357,37.4577376396937
신답,245,Sindap,02호선,211-2,서울특별시 성동구 천호대로 232 (신답역),127.047080016548,37.5698401675735
신당,206,Sindang,02호선,206,서울특별시 중구 다산로 지하260 (흥인동),127.019477739585,37.5656742141161
신당,206,Sindang,02호선,206,서울특별시 중구 퇴계로 지하 431-1 (2호선 신당역),127.019477739585,37.5656742141161
신대방,231,Sindaebang,02호선,231,서울특별시 동작구 대림로 2(신대방동 신대방역),126.913507850555,37.4876526951195
신도림,234,Sindorim,02호선,234,서울특별시 구로구 새말로 117-21 (2호선 신도림역),126.891312500851,37.508908482648
신림,230,Sillim,02호선,230,서울특별시 신림동,126.9270589,37.4841985
신설동,246,Sinseol-dong,02호선,211-4,서울특별시 동대문구 왕산로 지하 1 (신설동) (1호선 신설동역),127.024456700382,37.5760299683175
신설동,246,Sinseol-dong,02호선,211-4,서울특별시 동대문구 왕산로 지하 1 (신설동) (2호선 신설동역),127.024456700382,37.5760299683175
신정네거리,249,Sinjeongnegeori,02호선,234-3,서울특별시 양천구 중앙로 지하 261 (2호선 신정네거리역),126.852889567642,37.5202231231721
신촌,240,Sinchon,02호선,240,서울특별시 마포구 신촌로 지하 90 (신촌역),126.936981845317,37.5551992564661
아현,242,Ahyeon,02호선,242,서울특별시 마포구 신촌로 지하 270 (2호선 아현역),126.956146440089,37.5574061779766
양천구청,248,Yangcheon-gu Office,02호선,234-2,서울특별시 양천구 목동로3길 지하 33 (신정동 양천구청역),126.865722369229,37.5123888716808
역삼,221,Yeoksam,02호선,221,서울특별시 강남구 테헤란로 지하 156 (역삼역),127.03646946847,37.5006744185994
영등포구청,236,Yeongdeungpo-gu Office,02호선,236,서울특별시 영등포구 양산로 지하116 (당산동3가),126.89667739939,37.5258305311402
영등포구청,236,Yeongdeungpo-gu Office,02호선,236,서울특별시 영등포구 당산로 121(당산동3가) (2호선 영등포구청역),126.89667739939,37.5258305311402
왕십리,208,Wangsimni,02호선,208,서울특별시 성동구 왕십리로 지하300 (행당동),127.037101112459,37.5612683640285
왕십리,208,Wangsimni,02호선,208,서울특별시 성동구 왕십리로 지하300 (2호선 왕십리역),127.037101112459,37.5612683640285
용답,244,Yongdap,02호선,211-1,서울특별시 성동구 용답길 86 (용답역),127.050891834055,37.5621261721749
용두,250,Yongdu,02호선,211-3,서울특별시 동대문구 천호대로 지하 129 (용두역),127.038275698211,37.5740621283646
을지로3가,203,Euljiro 3(sam)-ga,02호선,203,서울특별시 중구 을지로 지하 106 (2호선 을지로3가역),126.9909855674,37.5662905969967
을지로3가,203,Euljiro 3(sam)-ga,02호선,203,서울특별시 중구 을지로 지하 129 (3호선 을지로3가역),126.9909855674,37.5662905969967
을지로4가,204,Euljiro 4(sa)-ga,02호선,204,서울특별시 중구 창경궁로 지하51 (주교동),126.997632059113,37.5666405038268
을지로4가,204,Euljiro 4(sa)-ga,02호선,204,서울특별시 중구 을지로 지하 178 (2호선 을지로4가역),126.997632059113,37.5666405038268
을지로입구,202,Euljiro 1(il)-ga,02호선,202,서울특별시 중구 을지로 지하 42 (을지입구역),126.982193047079,37.5660373193635
이대,241,Ewha Womans Univ.,02호선,241,서울특별시 마포구 신촌로 지하180 (이대역),126.946431808973,37.556814719896
잠실,216,Jamsil,02호선,216,서울특별시 송파구 올림픽로 305 (신천동),127.100228759082,37.513312862699
잠실,216,Jamsil,02호선,216,서울특별시 송파구 올림픽로 지하 265 (2호선 잠실역),127.100228759082,37.513312862699
잠실나루,215,Jamsillaru,02호선,215,서울특별시 송파구 오금로 20 (잠실나루역),127.103809189146,37.5207114184262
충정로,243,Chungjeongno,02호선,243,서울특별시 서대문구 충정로 지하28-1 (충정로3가),126.964493206988,37.5597623875712
충정로,243,Chungjeongno,02호선,243,서울특별시 서대문구 서소문로 지하 17 (2호선 충정로역),126.964493206988,37.5597623875712
