,code,date,in_people,out_people,name,line,address,x,y
123,212,20161225,56827.0,60300.0,건대입구,02호선,서울특별시 광진구 능동로 지하110 (화양동),127.069203234354,37.5404068198011
124,212,20171224,51584.0,58920.0,건대입구,02호선,서울특별시 광진구 능동로 지하110 (화양동),127.069203234354,37.5404068198011
125,212,20171225,57755.0,61971.0,건대입구,02호선,서울특별시 광진구 능동로 지하110 (화양동),127.069203234354,37.5404068198011
126,213,20151224,29686.0,28564.0,구의,02호선,서울특별시 광진구 아차산로 384-1 (구의역),127.086181083988,37.5371739190572
127,213,20151225,15560.0,14824.0,구의,02호선,서울특별시 광진구 아차산로 384-1 (구의역),127.086181083988,37.5371739190572
128,213,20161224,18872.0,17410.0,구의,02호선,서울특별시 광진구 아차산로 384-1 (구의역),127.086181083988,37.5371739190572
129,213,20161225,12879.0,12625.0,구의,02호선,서울특별시 광진구 아차산로 384-1 (구의역),127.086181083988,37.5371739190572
130,213,20171224,13752.0,13148.0,구의,02호선,서울특별시 광진구 아차산로 384-1 (구의역),127.086181083988,37.5371739190572
131,213,20171225,14366.0,13811.0,구의,02호선,서울특별시 광진구 아차산로 384-1 (구의역),127.086181083988,37.5371739190572
132,214,20151224,61109.0,61104.0,강변,02호선,서울특별시 광진구 강변역로 53 (강변역),127.09474110186301,37.535118038597496
133,214,20151225,47728.0,48563.0,강변,02호선,서울특별시 광진구 강변역로 53 (강변역),127.09474110186301,37.535118038597496
134,214,20161224,53370.0,52322.0,강변,02호선,서울특별시 광진구 강변역로 53 (강변역),127.09474110186301,37.535118038597496
135,214,20161225,43791.0,46751.0,강변,02호선,서울특별시 광진구 강변역로 53 (강변역),127.09474110186301,37.535118038597496
136,214,20171224,40609.0,40152.0,강변,02호선,서울특별시 광진구 강변역로 53 (강변역),127.09474110186301,37.535118038597496
137,214,20171225,43737.0,45411.0,강변,02호선,서울특별시 광진구 강변역로 53 (강변역),127.09474110186301,37.535118038597496
138,215,20151224,21943.0,20312.0,잠실나루,02호선,서울특별시 송파구 오금로 20 (잠실나루역),127.103809189146,37.5207114184262
